issuer_ca_id,issuer_name,name_value,min_cert_id,min_entry_timestamp,not_before
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",wuerflach.gv.at,314499144,2018-01-27 14:33:16.83,2018-01-27 13:33:16
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.wuerflach.gv.at,314499144,2018-01-27 14:33:16.83,2018-01-27 13:33:16
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.xn--wrflach-n2a.gv.at,314499144,2018-01-27 14:33:16.83,2018-01-27 13:33:16
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",xn--wrflach-n2a.gv.at,314499144,2018-01-27 14:33:16.83,2018-01-27 13:33:16
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.kirchberg-wagram.gv.at,313988752,2018-01-26 21:43:55.412,2018-01-26 20:43:55
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",messenger24.bmi.gv.at,314335804,2018-01-26 20:22:59.898,2018-01-23 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",AutoDiscover.sierning.ooe.gv.at,313911885,2018-01-26 19:26:21.958,2018-01-25 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",mail.sierning.ooe.gv.at,313911885,2018-01-26 19:26:21.958,2018-01-25 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",sierning.ooe.gv.at,313911885,2018-01-26 19:26:21.958,2018-01-25 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",dx.bmlfuw.gv.at,313900475,2018-01-26 19:14:37.158,2018-01-22 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",dx.bmnt.gv.at,313900475,2018-01-26 19:14:37.158,2018-01-22 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",ifs.bmlfuw.gv.at,313900475,2018-01-26 19:14:37.158,2018-01-22 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",ifs.bmnt.gv.at,313900475,2018-01-26 19:14:37.158,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",fmiumacedocqs.wien.gv.at,313866737,2018-01-26 17:50:52.248,2018-01-26 00:00:00
